sample,FBP_PSNR,FBP_SSIM,FBP_RMSE,FISTA-TV_PSNR,FISTA-TV_SSIM,FISTA-TV_RMSE,ISTA-Net_PSNR,ISTA-Net_SSIM,ISTA-Net_RMSE,FBPConvNet_PSNR,FBPConvNet_SSIM,FBPConvNet_RMSE,FISTA-Net_PSNR,FISTA-Net_SSIM,FISTA-Net_RMSE
0,21.403119406741013,0.4117213488557687,0.0850832462310791,23.073826510708294,0.5173324234567602,0.07019540667533875,21.366243068817738,0.4104345917940522,0.08544523268938065,23.533780381590567,0.5394234408888706,0.06657496839761734,23.56533941822544,0.7638508611654287,0.06633351743221283
1,21.490905944837365,0.41955894753041706,0.08422765880823135,23.170943163101526,0.5239159367223486,0.06941492110490799,21.454347695441225,0.41825380702217846,0.08458290994167328,23.637139575999882,0.5506250802736036,0.06578744202852249,23.699960654548956,0.7631232664678402,0.06531335413455963
2,21.423603386647212,0.4212847396860534,0.08488281816244125,23.079794488489462,0.5243279610516502,0.07014719396829605,21.388011497607906,0.41999814317492473,0.08523136377334595,23.56583597704137,0.5535693120947551,0.066329725086689,23.605834788610398,0.7621908035835581,0.06602497398853302
3,21.459811320721748,0.4191612505248253,0.08452972024679184,23.153859806987583,0.5224763629481223,0.06955157965421677,21.423305167150946,0.41791838220317173,0.08488573879003525,23.661611789570507,0.5549257073267184,0.06560235470533371,23.702133843026022,0.7627441501172778,0.06529700756072998
4,21.560617181812262,0.4226813158627002,0.08355436474084854,23.263182609630526,0.5274467824370959,0.06868167221546173,21.523889063811108,0.4214062948017367,0.08390842378139496,23.817584806522753,0.5546717275509122,0.06443484127521515,23.80693885613653,0.7613037149084732,0.06451386213302612
5,21.59172738750021,0.42522514818146084,0.08325563371181488,23.231724789651487,0.5313924518692654,0.06893087178468704,21.555649570715055,0.4239320799777306,0.08360216021537781,23.8167288460768,0.5553177739831987,0.06444118916988373,23.743224525680205,0.7646653641556665,0.06498883664608002
6,21.677622208818626,0.42837016466621425,0.08243637531995773,23.334506877144463,0.5348576864009679,0.06812000274658203,21.641137936119623,0.4270489910363974,0.08278337121009827,23.963607936346683,0.5557452125191,0.06336065381765366,23.825976061402578,0.7660667264062019,0.06437262147665024
7,21.809543865531985,0.43028015977456874,0.08119378983974457,23.530899754738574,0.5378697273934901,0.06659705191850662,21.77137353950367,0.4289231625486458,0.08155138045549393,24.199012462472652,0.5586369413549587,0.06166651472449303,24.014181612201458,0.7665073508752577,0.06299279630184174
8,21.873551903684437,0.43355163078502534,0.0805976539850235,23.569024875047816,0.5392039936161106,0.06630537658929825,21.835895940832724,0.432184471699649,0.08094783127307892,24.222819415272753,0.559117686357528,0.06149772182106972,24.030847959677473,0.7622556509476887,0.06287204474210739
9,21.955152352418864,0.4397559211392434,0.07984401285648346,23.570186526921102,0.5452433238169069,0.0662965178489685,21.918604218213122,0.438313893380195,0.08018068969249725,24.171525695271242,0.5526871623583919,0.06186196580529213,24.0163964071979,0.7691482299395176,0.06297674030065536
